Field Name,Field Label,Model,Field Type,Type,Indexed,Stored,Readonly,Related Model
x_studio_selection_field_5r2_1je1km9mb,New Selection,User,selection,Base Field,FALSE,FALSE,FALSE,
x_studio_is_landline,Is Landline,User,boolean,Base Field,FALSE,FALSE,FALSE,
x_studio_selection_field_6p5_1jdpv05gk,New Selection,User,selection,Base Field,FALSE,FALSE,FALSE,
x_studio_workiz_location_id,Workiz Location ID.,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_x_studio_ok_to_text,OK to Text,User,selection,Base Field,FALSE,FALSE,FALSE,
x_studio_boolean_field_6r2_1jct887l4,New CheckBox,User,boolean,Base Field,FALSE,FALSE,FALSE,
x_studio_last_service_date,Last Service Date,User,date,Base Field,FALSE,FALSE,TRUE,
x_studio_char_field_8h1_1jct918j9,New Text,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_contact_category,Contact Category,User,selection,Base Field,FALSE,FALSE,FALSE,
x_studio_pricing_menu,Pricing Menu,User,text,Base Field,FALSE,FALSE,TRUE,
x_studio_date_field_12l_1jbud9b9v,New Date,User,date,Base Field,FALSE,FALSE,FALSE,
x_studio_text_field_92k_1jbue3a62,New Multiline Text,User,text,Base Field,FALSE,FALSE,FALSE,
x_studio_alternating,Alternating,User,char,Base Field,FALSE,FALSE,FALSE,
x_studio_related_field_7lq_1jdpstqrj,First Name (Copy),User,char,Base Field,FALSE,FALSE,TRUE,
x_studio_is_landline_1,Is Landline,User,boolean,Base Field,FALSE,FALSE,FALSE,
x_studio_related_field_3ks_1jdpt7f10,Parent name (Copy),User,char,Base Field,FALSE,FALSE,TRUE,
x_studio_char_field_1eb_1je70h73r,New Text,User,char,Base Field,FALSE,FALSE,FALSE,
